Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,187.35,188.2,185.86,186.47,23105649,GOOGL
2025-02-11,185.03,186.94,184.28,185.32,21239519,GOOGL
2025-02-12,183.22,185.11,181.83,183.61,22072559,GOOGL
2025-02-13,184.32,186.28,183.14,186.14,21402523,GOOGL
2025-02-14,185.055,186.4,184.32,185.23,20448437,GOOGL
2025-02-18,185.6,185.96,181.7401,183.77,29916675,GOOGL
2025-02-19,184.07,185.46,183.59,185.27,19549396,GOOGL
2025-02-20,184.8,185.31,182.72,184.56,20441462,GOOGL
2025-02-21,185.15,185.34,179.08,179.66,35199239,GOOGL
2025-02-24,181.99,183.12,178.885,179.25,29854206,GOOGL
2025-02-25,178.04,178.74,174.6939,175.42,41913411,GOOGL
2025-02-26,175.07,176.08,171.5807,172.73,35431268,GOOGL
2025-02-27,173.99,174.56,167.94,168.5,39991015,GOOGL
2025-02-28,168.68,170.61,166.77,170.28,48130565,GOOGL
2025-03-03,171.925,173.37,165.93,167.01,40770451,GOOGL
2025-03-04,166.24,173.2946,165.8,170.92,45387996,GOOGL
2025-03-05,170.52,173.78,169.06,173.02,30954922,GOOGL
2025-03-06,170.53,174.81,170.5,172.35,28301953,GOOGL
2025-03-07,171.26,174.97,170.27,173.86,27385813,GOOGL
2025-03-10,168.26,168.46,163.69,165.87,43377356,GOOGL
2025-03-11,164.91,166.75,161.37,164.04,39587414,GOOGL
2025-03-12,166.58,167.6399,163.53,167.11,28372396,GOOGL
2025-03-13,166.035,166.13,162.11,162.76,31756214,GOOGL
2025-03-14,163.27,166.49,162.45,165.49,31995894,GOOGL
2025-03-17,165.03,166.3,163.67,164.29,31184335,GOOGL
2025-03-18,163.675,164.25,156.72,160.67,42074751,GOOGL
2025-03-19,161.76,165.87,161.0,163.89,34275582,GOOGL
2025-03-20,161.57,164.89,160.96,162.8,28138464,GOOGL
2025-03-21,161.205,164.24,160.8901,163.99,36625764,GOOGL
2025-03-24,167.065,168.32,165.14,167.68,30879129,GOOGL
2025-03-25,168.98,170.63,168.315,170.56,24174373,GOOGL
2025-03-26,169.0,169.61,164.84,165.06,28939326,GOOGL
2025-03-27,164.63,165.42,162.0,162.24,24508273,GOOGL
2025-03-28,160.49,161.82,153.63,154.33,48669335,GOOGL
2025-03-31,153.11,155.54,150.662,154.64,54603464,GOOGL
2025-04-01,153.62,158.1,153.62,157.07,30672899,GOOGL
2025-04-02,155.15,158.4052,154.7,157.04,25041730,GOOGL
2025-04-03,151.11,152.7799,150.39,150.72,46883371,GOOGL
2025-04-04,148.01,151.07,145.38,145.6,62259539,GOOGL
2025-04-07,141.55,152.85,140.53,146.75,76794136,GOOGL
2025-04-08,151.22,152.24,143.03,144.7,52200208,GOOGL
2025-04-09,144.415,159.55,143.905,158.71,70406232,GOOGL
2025-04-10,156.54,157.72,149.93,152.82,48021972,GOOGL
2025-04-11,152.9,157.67,152.82,157.14,33636239,GOOGL
2025-04-14,159.995,161.72,157.56,159.07,30332957,GOOGL
2025-04-15,159.125,159.65,155.21,156.31,27551534,GOOGL
2025-04-16,153.1,155.89,151.51,153.33,28187421,GOOGL
2025-04-17,154.29,154.68,148.5,151.16,33046576,GOOGL
2025-04-21,148.88,148.945,146.1,147.67,26049115,GOOGL
2025-04-22,148.89,152.19,148.54,151.47,26971774,GOOGL
2025-04-23,155.61,157.525,153.81,155.35,31128833,GOOGL
2025-04-24,156.15,159.59,155.79,159.28,45893951,GOOGL
2025-04-25,165.07,166.1,161.04,161.96,56033995,GOOGL
2025-04-28,162.425,163.15,158.6,160.61,29745782,GOOGL
2025-04-29,160.325,160.74,157.52,160.16,26808958,GOOGL
2025-04-30,157.975,159.27,155.4,158.8,34981059,GOOGL
2025-05-01,160.45,161.95,158.91,161.3,30203248,GOOGL
2025-05-02,163.405,164.97,161.87,164.03,25715005,GOOGL
2025-05-05,163.0,165.39,162.72,164.21,21341814,GOOGL
2025-05-06,162.17,164.8,161.19,163.23,21277210,GOOGL
2025-05-07,164.08,165.0,147.84,151.38,127747554,GOOGL
2025-05-08,155.0,155.93,152.9,154.28,57498692,GOOGL
2025-05-09,154.17,155.05,152.2,152.75,32435281,GOOGL
2025-05-12,157.485,159.1,156.25,158.46,44138818,GOOGL
2025-05-13,158.79,160.57,156.16,159.53,42382126,GOOGL
2025-05-14,159.96,167.0,159.61,165.37,48755869,GOOGL
2025-05-15,165.84,166.205,162.3732,163.96,33146669,GOOGL
2025-05-16,167.725,169.35,165.62,166.19,42846925,GOOGL
2025-05-19,164.51,166.64,164.22,166.54,30426097,GOOGL
2025-05-20,166.43,168.5,162.9,163.98,46607656,GOOGL
2025-05-21,163.69,173.14,163.56,168.56,73415956,GOOGL
