Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,230.545,233.92,229.2,233.14,35419926,AMZN
2025-02-11,231.92,233.44,230.13,232.76,23713726,AMZN
2025-02-12,230.46,231.18,228.16,228.93,32285249,AMZN
2025-02-13,228.85,230.42,227.52,230.37,31346512,AMZN
2025-02-14,229.2,229.89,227.23,228.68,27031084,AMZN
2025-02-18,228.82,229.3,223.72,226.65,42975133,AMZN
2025-02-19,225.52,226.83,223.71,226.63,28566709,AMZN
2025-02-20,224.775,225.13,221.81,222.88,30001665,AMZN
2025-02-21,223.28,223.31,214.74,216.58,55323850,AMZN
2025-02-24,217.45,217.715,212.42,212.71,42387585,AMZN
2025-02-25,211.63,213.34,204.16,212.8,58957977,AMZN
2025-02-26,214.94,218.16,213.09,214.35,39120603,AMZN
2025-02-27,218.35,219.97,208.37,208.74,40548571,AMZN
2025-02-28,208.65,212.62,206.99,212.28,51771737,AMZN
2025-03-03,213.352,214.01,202.55,205.02,42948447,AMZN
2025-03-04,200.11,206.8,197.432,203.8,60853084,AMZN
2025-03-05,204.8,209.98,203.26,208.36,38610085,AMZN
2025-03-06,204.4,205.77,198.3015,200.7,49863755,AMZN
2025-03-07,199.49,202.2653,192.53,199.25,59802821,AMZN
2025-03-10,195.6,196.73,190.85,194.54,61829231,AMZN
2025-03-11,193.9,200.18,193.4,196.59,54002880,AMZN
2025-03-12,200.72,201.52,195.29,198.89,43679284,AMZN
2025-03-13,198.165,198.8799,191.82,193.89,41270761,AMZN
2025-03-14,197.41,198.65,195.32,197.95,38096663,AMZN
2025-03-17,198.77,199.0,194.3247,195.74,47341752,AMZN
2025-03-18,192.52,194.0,189.38,192.82,40414867,AMZN
2025-03-19,193.38,195.965,191.96,195.54,39442878,AMZN
2025-03-20,193.07,199.32,192.3,194.95,38921113,AMZN
2025-03-21,192.9,196.99,192.52,196.21,60056917,AMZN
2025-03-24,200.0,203.64,199.95,203.26,41625365,AMZN
2025-03-25,203.595,206.21,203.22,205.71,31171161,AMZN
2025-03-26,205.835,206.01,199.925,201.13,32990973,AMZN
2025-03-27,200.89,203.79,199.2821,201.36,27317661,AMZN
2025-03-28,198.42,199.26,191.881,192.72,52548226,AMZN
2025-03-31,188.19,191.33,184.4,190.26,63547558,AMZN
2025-04-01,187.86,193.93,187.2,192.17,41267315,AMZN
2025-04-02,187.66,198.34,187.66,196.01,53679198,AMZN
2025-04-03,182.995,184.13,176.92,178.41,95553617,AMZN
2025-04-04,167.145,178.1436,166.0,171.0,123159359,AMZN
2025-04-07,162.0,183.4099,161.38,175.26,109327115,AMZN
2025-04-08,185.23,185.9,168.57,170.66,87710360,AMZN
2025-04-09,172.115,192.65,169.93,191.1,116804328,AMZN
2025-04-10,185.44,186.8692,175.8518,181.22,68302045,AMZN
2025-04-11,179.93,185.86,178.0,184.87,50594339,AMZN
2025-04-14,186.84,187.44,179.23,182.12,48002540,AMZN
2025-04-15,181.41,182.35,177.9331,179.59,43641952,AMZN
2025-04-16,176.29,179.1046,171.41,174.33,51875316,AMZN
2025-04-17,176.0,176.21,172.0,172.61,44726453,AMZN
2025-04-21,169.6,169.6,165.285,167.32,48126111,AMZN
2025-04-22,169.845,176.78,169.35,173.18,56607202,AMZN
2025-04-23,183.45,187.38,180.19,180.6,63470149,AMZN
2025-04-24,180.915,186.74,180.18,186.54,43763196,AMZN
2025-04-25,187.62,189.94,185.49,188.99,36414330,AMZN
2025-04-28,190.105,190.22,184.885,187.7,33224732,AMZN
2025-04-29,183.99,188.0158,183.68,187.39,41667255,AMZN
2025-04-30,182.17,185.05,178.85,184.42,55176543,AMZN
2025-05-01,190.63,191.8071,187.5,190.2,74265963,AMZN
2025-05-02,191.435,192.88,186.4,189.98,77903487,AMZN
